Time      encoder Position      Calculated Position
-0.001    -1.50796     34.5482
-0.001    -1.50796     34.7967
-0.001    -1.50796     35.0417
-0.001    -1.50796     35.2833
-0.001    -1.50796     35.5213
-0.001    -1.50796     35.7557
-0.001    -1.50796     35.9865
-0.001    -1.50796     36.2135
-0.001    -1.50796     36.4368
-0.001    -1.50796     36.6563
-0.001    -1.50796     36.8718
-0.001    -1.50796     37.0835
-0.001    -1.50796     37.2912
-0.001    -1.50796     37.4948
-0.001    -1.50796     37.6944
-0.001    -1.50796     37.8898
-0.001    -1.50796     38.081
-0.001    -1.50796     38.268
-0.001    -1.50796     38.4508
-0.001    -1.50796     38.6292
-0.001    -1.50796     38.8032
-0.001    -1.50796     38.9729
-0.001    -1.50796     39.1381
-0.001    -1.50796     39.2988
-0.001    -1.50796     39.455
-0.001    -1.50796     39.6066
-0.001    -1.50796     39.7536
-0.001    -1.50796     39.896
-0.001    -1.50796     40.0337
-0.001    -1.50796     40.1666
-0.001    -1.50796     40.2949
-0.001    -1.50796     40.4183
-0.001    -1.50796     40.537
-0.001    -1.50796     40.6508
-0.001    -1.50796     40.7598
-0.001    -1.50796     40.8638
-0.001    -1.50796     40.963
-0.001    -1.50796     41.0572
-0.001    -1.50796     41.1465
-0.001    -1.50796     41.2307
-0.001    -1.50796     41.31
-0.001    -1.50796     41.3842
-0.001    -1.50796     41.4534
-0.001    -1.50796     41.5175
-0.001    -1.50796     41.5766
-0.001    -1.50796     41.6306
-0.001    -1.50796     41.6794
-0.001    -1.50796     41.7232
-0.001    -1.50796     41.7618
-0.001    -1.50796     41.7953
-0.001    -1.50796     41.8236
-0.001    -1.50796     41.8468
-0.001    -1.50796     41.8648
-0.001    -1.50796     41.8777
-0.001    -1.50796     41.8854
-0.001    -1.50796     41.8879
-0.001    -1.50796     41.8853
